Variation,visit_id,steps,total_steps,backward_steps
Control,316946640_11796236658_494909,"(4, 0)",4,0
Control,316981894_94874881860_125961,"(4, 0)",4,0
Control,316982976_73064518359_739753,"(4, 0)",4,0
Control,316984557_32108390389_674932,"(1, 0)",1,0
Control,31705490_36178875662_111202,"(4, 0)",4,0
Control,317084730_11791503286_577119,"(3, 0)",3,0
Control,317148914_3321309323_704100,"(2, 1)",2,1
Control,317211821_12166215510_260445,"(4, 0)",4,0
Control,317217306_44093987244_888213,"(2, 0)",2,0
Control,317218303_27315668017_337677,"(1, 0)",1,0
Control,317230015_22353952027_369141,"(4, 0)",4,0
Control,317275009_9986264774_29269,"(9, 3)",9,3
Control,317320557_62970678792_39986,"(4, 0)",4,0
Control,31740098_32237826399_871579,"(0, 0)",0,0
Control,317410700_52128064244_536101,"(5, 2)",5,2
Control,31747502_7399659242_397790,"(4, 0)",4,0
Control,317490350_52937298393_741583,"(2, 1)",2,1
Control,317494508_64594211459_717244,"(4, 0)",4,0
Control,317550702_9563300092_343314,"(1, 0)",1,0
Control,317565943_32938471625_55519,"(11, 2)",11,2
Control,317580947_64493991587_431408,"(5, 1)",5,1
Control,317598636_87858191451_409552,"(4, 0)",4,0
Control,317645388_74479757208_791316,"(6, 1)",6,1
Control,317674557_14850597722_268663,"(0, 0)",0,0
Control,317704316_92728044602_468198,"(1, 0)",1,0
Control,317747586_39853768188_3011,"(4, 0)",4,0
Control,317769714_6764258016_856102,"(1, 0)",1,0
Control,317822674_44263690936_705930,"(4, 1)",4,1
Control,317860746_73074322240_737285,"(6, 1)",6,1
Control,317890524_61873442103_712974,"(1, 0)",1,0
Control,317927117_52191236982_687989,"(5, 1)",5,1
Control,317940920_31028984587_267215,"(1, 0)",1,0
Control,317945628_8620952512_790505,"(3, 1)",3,1
Control,31799584_54966880328_619774,"(12, 6)",12,6
Control,318015365_72407678056_963059,"(4, 0)",4,0
Control,318111950_54187799822_804308,"(4, 0)",4,0
Control,318121999_53001720345_522918,"(4, 0)",4,0
Control,318126200_28326014267_586635,"(7, 1)",7,1
Control,318159657_77850838362_17394,"(1, 0)",1,0
Control,318164441_95546487847_24715,"(0, 0)",0,0
Control,318172798_13131462074_1379,"(9, 3)",9,3
Control,318185397_19299639881_230565,"(25, 10)",25,10
Control,318264008_16188079985_875715,"(4, 0)",4,0
Control,318264337_34988576926_364365,"(1, 0)",1,0
Control,318272498_4087347332_266080,"(4, 0)",4,0
Control,318306968_22981413738_432086,"(3, 0)",3,0
Control,318323757_56874824122_572692,"(4, 0)",4,0
Control,31838762_26059686598_52271,"(0, 0)",0,0
Control,318399313_76754732382_544896,"(1, 0)",1,0
Control,318405140_97366843636_886859,"(0, 0)",0,0
Control,318426887_82977701600_486079,"(4, 0)",4,0
Control,318444534_47163768214_996835,"(5, 1)",5,1
Control,318461206_57745851346_669952,"(0, 0)",0,0
Control,318531813_18355633226_707500,"(9, 1)",9,1
Control,318536682_6393989497_808737,"(1, 0)",1,0
Control,318537213_94820175261_243382,"(8, 1)",8,1
Control,318566369_46966482568_887282,"(4, 0)",4,0
Control,318605021_73099710040_163463,"(2, 0)",2,0
Control,318613097_65733096009_945891,"(4, 0)",4,0
Control,318619840_7811994002_373500,"(6, 1)",6,1
Control,318623930_67493199871_916845,"(4, 1)",4,1
Control,31865081_38302322934_702915,"(1, 0)",1,0
Control,318651242_40484626092_587758,"(4, 0)",4,0
Control,31869685_61415408797_599743,"(4, 0)",4,0
Control,318701550_83878410695_103643,"(4, 0)",4,0
Control,318702799_56750907369_658581,"(10, 3)",10,3
Control,318711011_89953499796_643505,"(6, 1)",6,1
Control,318753025_84251668843_387757,"(4, 0)",4,0
Control,318863491_67941594092_325961,"(4, 0)",4,0
Control,31887560_99999629310_873282,"(4, 0)",4,0
Control,318877844_47642745451_650014,"(1, 0)",1,0
Control,318902746_85837372795_68430,"(4, 0)",4,0
Control,318927717_13726310699_350969,"(4, 0)",4,0
Control,318934958_18876519051_104167,"(4, 0)",4,0
Control,318963848_70735908555_154390,"(6, 1)",6,1
Control,3189990_4912696611_593102,"(4, 0)",4,0
Control,318999505_44707279115_898184,"(7, 3)",7,3
Control,319020723_41091953524_100319,"(4, 0)",4,0
Control,319036112_57907447320_443739,"(5, 1)",5,1
Control,319086053_35836409256_327188,"(4, 0)",4,0
Control,319097959_67624833694_314853,"(3, 0)",3,0
Control,319131719_99477883972_578428,"(4, 0)",4,0
Control,319141999_55656570845_530701,"(4, 0)",4,0
Control,319182509_27593108548_907782,"(0, 0)",0,0
Control,319282477_80048971619_600917,"(4, 0)",4,0
Control,319334534_36400736052_359295,"(4, 0)",4,0
Control,319431987_65456452213_210271,"(4, 0)",4,0
Control,319465185_411078563_567468,"(4, 0)",4,0
Control,319535460_99174170185_623927,"(4, 0)",4,0
Control,319567753_50004739267_717918,"(0, 0)",0,0
Control,319578563_26219506312_801527,"(4, 0)",4,0
Control,319606201_4063771320_875449,"(1, 0)",1,0
Control,319619851_1095448808_530135,"(4, 1)",4,1
Control,319622864_87335497228_907779,"(2, 0)",2,0
Control,319624287_86179354945_301772,"(4, 0)",4,0
Control,319639620_97884587730_276216,"(7, 1)",7,1
Control,319670205_57787150540_504259,"(4, 1)",4,1
Control,319807392_43060832477_345160,"(4, 0)",4,0
Control,319811011_85453835458_567262,"(1, 0)",1,0
Control,319813186_72279614117_234643,"(4, 0)",4,0
Control,319821080_9631047549_121715,"(4, 0)",4,0
Control,319828968_15166244659_967386,"(0, 0)",0,0
Control,319858140_28490755962_666115,"(4, 0)",4,0
Control,319918385_41093402888_329166,"(4, 0)",4,0
Control,319918511_71400436676_308999,"(4, 0)",4,0
Control,320000418_62417272634_813617,"(3, 0)",3,0
Control,320008514_46115383266_459757,"(8, 1)",8,1
Control,320028193_24127426795_521613,"(0, 0)",0,0
Control,320041032_40781367115_412494,"(4, 0)",4,0
Control,320046223_18688184461_465763,"(4, 0)",4,0
Control,320065220_92502174123_453179,"(4, 0)",4,0
Control,320084982_57832915585_589206,"(4, 0)",4,0
Control,320103737_83393273448_283176,"(1, 0)",1,0
Control,320109078_95672094712_719411,"(2, 1)",2,1
Control,320147994_47619358900_337457,"(3, 0)",3,0
Control,32017229_34348650025_169600,"(3, 0)",3,0
Control,32017840_8868109019_206781,"(0, 0)",0,0
Control,320190555_43472192049_898279,"(4, 0)",4,0
Control,32020243_55469601635_963594,"(4, 0)",4,0
Control,320253190_88786265368_171473,"(4, 0)",4,0
Control,320264814_8455208123_786819,"(6, 1)",6,1
Control,320274589_27220839282_674510,"(0, 0)",0,0
Control,320282903_62334954139_148333,"(4, 0)",4,0
Control,320298761_76132210531_415221,"(2, 1)",2,1
Control,320407305_17405488958_839830,"(4, 0)",4,0
Control,320428463_58545807592_287550,"(9, 2)",9,2
Control,320433571_18768605949_570189,"(4, 0)",4,0
Control,320459742_58995778921_356793,"(4, 1)",4,1
Control,320474528_35608251466_825910,"(1, 0)",1,0
Control,320481156_90668234951_207812,"(4, 0)",4,0
Control,320709249_6623394266_784575,"(4, 0)",4,0
Control,320790588_82435897728_949408,"(4, 0)",4,0
Control,320807369_96381812344_223716,"(4, 0)",4,0
Control,320887969_8809534857_60301,"(6, 1)",6,1
Control,320891552_59905219562_948563,"(4, 0)",4,0
Control,32089287_13244696115_511901,"(1, 0)",1,0
Control,321087600_79132824709_256803,"(4, 2)",4,2
Control,321087745_95443687089_639172,"(4, 0)",4,0
Control,321094439_50841297841_897293,"(6, 1)",6,1
Control,321130005_92330877616_669316,"(4, 0)",4,0
Control,32113887_63529054319_94264,"(1, 0)",1,0
Control,321153668_55334583766_668658,"(3, 0)",3,0
Control,321197998_87608547053_296627,"(6, 1)",6,1
Control,321201830_6242123993_220140,"(0, 0)",0,0
Control,32120405_71256965748_285242,"(5, 1)",5,1
Control,321235913_56588231763_222056,"(6, 1)",6,1
Control,321256646_84512090263_814614,"(5, 1)",5,1
Control,321313362_38043757190_972071,"(4, 0)",4,0
Control,321347236_70751678304_62702,"(4, 0)",4,0
Control,321356256_3643052528_311345,"(4, 0)",4,0
Control,3214218_56157205768_443917,"(3, 0)",3,0
Control,321441641_88649229321_660385,"(4, 0)",4,0
Control,321484317_44633479858_183434,"(6, 1)",6,1
Control,321560307_1849624808_519099,"(5, 1)",5,1
Control,321572422_47646025284_68817,"(4, 0)",4,0
Control,321597706_26682646682_998506,"(8, 2)",8,2
Control,321601794_59152841076_860330,"(0, 0)",0,0
Control,321613698_60096332680_992958,"(1, 0)",1,0
Control,321649364_74895046839_99126,"(4, 0)",4,0
Control,321680743_74521516281_214304,"(4, 0)",4,0
Control,321693705_94361478219_497292,"(1, 0)",1,0
Control,321697799_78847533019_993516,"(2, 0)",2,0
Control,321707831_92292673954_313995,"(5, 2)",5,2
Control,321757658_95018169821_550863,"(1, 0)",1,0
Control,321777611_26810795178_776709,"(0, 0)",0,0
Control,321818535_65994759082_981349,"(5, 1)",5,1
Control,321843621_58536513115_346127,"(4, 0)",4,0
Control,321917222_45986616267_242504,"(4, 0)",4,0
Control,32209183_87856756167_872239,"(6, 3)",6,3
Control,322097151_41436355149_480094,"(3, 0)",3,0
Control,322117523_57275873153_876087,"(7, 1)",7,1
Control,322120351_88495527266_304753,"(6, 1)",6,1
Control,32213038_49663525086_224220,"(4, 0)",4,0
Control,322172229_20602710228_515238,"(4, 0)",4,0
Control,322226934_81992521058_288243,"(4, 0)",4,0
Control,322231054_7920335505_316432,"(4, 0)",4,0
Control,322269721_13629489328_497688,"(5, 1)",5,1
Control,322271532_40432438500_237862,"(4, 0)",4,0
Control,322344767_16616765544_371643,"(4, 0)",4,0
Control,322363108_62436264999_416492,"(4, 0)",4,0
Control,322372630_8881919700_16416,"(4, 0)",4,0
Control,322427080_76153984848_501928,"(1, 0)",1,0
Control,322462164_3599611888_921139,"(0, 0)",0,0
Control,322516007_39723006165_415413,"(4, 0)",4,0
Control,322521198_3870805009_878646,"(4, 0)",4,0
Control,322585203_2148832524_129131,"(4, 0)",4,0
Control,322587155_38272264447_831757,"(1, 0)",1,0
Control,322593249_87645567527_129519,"(4, 0)",4,0
Control,322625001_60473537958_570881,"(0, 0)",0,0
Control,322626802_27494524198_653066,"(4, 0)",4,0
Control,322651483_41180930909_814899,"(3, 1)",3,1
Control,322721454_32499966481_568111,"(4, 0)",4,0
Control,322769443_5525500708_930032,"(4, 0)",4,0
Control,322801551_57173929636_567982,"(4, 0)",4,0
Control,32281841_60829818431_146588,"(4, 0)",4,0
Control,322879730_3735174700_290396,"(2, 0)",2,0
Control,322916916_25123126053_166,"(4, 0)",4,0
Control,322996494_73319609890_57542,"(4, 0)",4,0
Control,322998706_31714538871_744577,"(6, 2)",6,2
Control,323001741_90184844711_223345,"(4, 0)",4,0
Control,323007397_74904099079_672407,"(4, 0)",4,0
Control,323010352_80663283608_974893,"(4, 0)",4,0
Control,323010985_99118987537_489703,"(3, 1)",3,1
Control,323011350_91110865799_186462,"(3, 0)",3,0
Control,323021012_89839601580_239348,"(4, 0)",4,0
Control,323091457_98221684598_337461,"(4, 0)",4,0
Control,323102365_8195364982_715391,"(6, 2)",6,2
Control,323123591_97794589405_580153,"(3, 0)",3,0
Control,323133994_53348818349_70323,"(4, 0)",4,0
Control,323164837_62127622993_831687,"(4, 0)",4,0
Control,323185646_47985156015_516349,"(7, 1)",7,1
Control,323196107_85796638268_496345,"(4, 0)",4,0
Control,323199033_80569747883_5809,"(3, 0)",3,0
Control,323233252_61564289479_377057,"(3, 1)",3,1
Control,3233028_57379992961_536066,"(3, 0)",3,0
Control,323324132_18301903545_407220,"(1, 0)",1,0
Control,323338548_36844942852_322252,"(4, 0)",4,0
Control,323520000_86087113616_20657,"(4, 0)",4,0
Control,323546187_64082500906_958505,"(4, 0)",4,0
Control,323610465_61323151570_302051,"(4, 0)",4,0
Control,323636849_20735199755_769813,"(8, 2)",8,2
Control,323727306_6317861841_471776,"(6, 1)",6,1
Control,323748385_31599429674_743119,"(4, 0)",4,0
Control,32376726_35065031394_29891,"(4, 0)",4,0
Control,323774090_51466460619_593916,"(4, 0)",4,0
Control,323829406_84978564046_767938,"(2, 1)",2,1
Control,323833_29107713470_88045,"(8, 1)",8,1
Control,32386826_12608594921_472627,"(4, 0)",4,0
Control,323869081_69671043275_148554,"(5, 1)",5,1
Control,324120517_73694197744_234045,"(1, 0)",1,0
Control,32413682_25086443639_761090,"(4, 0)",4,0
Control,324192053_53350169696_46824,"(4, 0)",4,0
Control,324198920_76079518276_102371,"(1, 0)",1,0
Control,324201819_62540733428_123316,"(6, 1)",6,1
Control,324314931_64148625937_695240,"(3, 0)",3,0
Control,324437543_17253702962_585551,"(4, 0)",4,0
Control,324463420_43898407177_905603,"(5, 1)",5,1
Control,324466338_17497848610_973824,"(4, 0)",4,0
Control,324470708_77072959385_675735,"(4, 0)",4,0
Control,324486133_85238135904_253685,"(1, 0)",1,0
Control,324491225_9415902969_777957,"(3, 0)",3,0
Control,324512500_44825243147_994125,"(6, 2)",6,2
Control,324584688_41634872645_602659,"(6, 1)",6,1
Control,324605163_10768090711_188226,"(3, 0)",3,0
Control,324608156_5074967449_350975,"(1, 0)",1,0
Control,324635462_27972087990_141767,"(3, 1)",3,1
Control,324641571_34040288506_904489,"(4, 0)",4,0
Control,324653817_2553864151_721023,"(3, 0)",3,0
Control,324681711_91821353884_500055,"(6, 1)",6,1
Control,324689470_16263782726_730705,"(7, 1)",7,1
Control,324701318_43010801426_307074,"(5, 1)",5,1
Control,32473656_15108802765_688189,"(4, 0)",4,0
Control,324739727_36957777906_311624,"(6, 1)",6,1
Control,324769400_65384204974_713451,"(4, 0)",4,0
Control,324889142_60241991120_3565,"(4, 0)",4,0
Control,32500315_16671324641_181978,"(4, 1)",4,1
Control,325060293_82051554848_452381,"(4, 0)",4,0
Control,325115217_46653833002_255149,"(3, 0)",3,0
Control,325127065_29556533851_186944,"(3, 0)",3,0
Control,325190326_71957586409_913181,"(0, 0)",0,0
Control,325206714_45323560551_41441,"(2, 0)",2,0
Control,325218314_84055108439_121872,"(3, 1)",3,1
Control,325273098_5886182511_372026,"(0, 0)",0,0
Control,325273430_94513967768_601653,"(0, 0)",0,0
Control,325302713_96010312986_412524,"(1, 0)",1,0
Control,32530673_33806645811_300146,"(4, 0)",4,0
Control,325332159_39877865785_236337,"(4, 1)",4,1
Control,325379641_69736269923_45639,"(0, 0)",0,0
Control,325398730_91570682431_202227,"(5, 2)",5,2
Control,325439434_34787158494_227728,"(4, 0)",4,0
Control,325475588_7080443229_500417,"(1, 0)",1,0
Control,325495447_53845274231_127996,"(3, 0)",3,0
Control,325529272_44552834144_766140,"(4, 0)",4,0
Control,32557442_11458755225_885708,"(1, 0)",1,0
Control,325579453_86812243454_378420,"(4, 0)",4,0
Control,325644582_61339178000_916655,"(1, 0)",1,0
Control,325674791_14828027698_477247,"(4, 0)",4,0
Control,325694197_31906177809_743843,"(1, 0)",1,0
Control,325704714_94054407836_800121,"(3, 0)",3,0
Control,325727795_53497458623_641812,"(0, 0)",0,0
Control,325728333_19978148924_588155,"(4, 0)",4,0
Control,325750464_24700348740_31637,"(4, 0)",4,0
Control,32577585_51184214234_928450,"(4, 0)",4,0
Control,325867922_11286038616_439376,"(3, 0)",3,0
Control,325880883_6643934785_202037,"(2, 0)",2,0
Control,325918448_31127577530_359051,"(2, 1)",2,1
Control,325926414_97745731711_53615,"(3, 0)",3,0
Control,325947085_26455944371_111460,"(4, 0)",4,0
Control,325955516_25155084388_947819,"(4, 0)",4,0
Control,326001960_63447568227_927493,"(4, 0)",4,0
Control,326002692_73029317235_164193,"(3, 0)",3,0
Control,326029023_5846254599_593217,"(0, 0)",0,0
Control,326040255_778077804_353886,"(0, 0)",0,0
Control,326064504_93116821271_241125,"(2, 0)",2,0
Control,326090876_82529735664_281063,"(4, 0)",4,0
Control,326109679_72464166465_472191,"(4, 0)",4,0
Control,326173621_7801156707_531865,"(7, 1)",7,1
Control,326201487_80733738868_369852,"(4, 0)",4,0
Control,326210394_28064343746_48496,"(4, 0)",4,0
Control,326298589_93824305263_782624,"(4, 1)",4,1
Control,326324124_31429588291_103625,"(3, 0)",3,0
Control,326426301_25421660994_528996,"(4, 0)",4,0
Control,326453328_50251602357_372276,"(1, 0)",1,0
Control,326590405_7971699381_543834,"(2, 0)",2,0
Control,326657724_22356239444_710784,"(4, 0)",4,0
Control,326721053_54329171396_774490,"(4, 0)",4,0
Control,326783234_40083016368_304205,"(4, 0)",4,0
Control,326799288_41102689163_380770,"(4, 0)",4,0
Control,326800820_24544885365_259061,"(1, 0)",1,0
Control,326849891_76764635189_46495,"(4, 0)",4,0
Control,326866534_25982114948_617729,"(3, 0)",3,0
Control,326925226_50791419072_710202,"(0, 0)",0,0
Control,326931037_82783073813_249161,"(5, 1)",5,1
Control,326961738_62065101116_720091,"(3, 0)",3,0
Control,326982278_4603070560_327973,"(4, 0)",4,0
Control,326986878_88922702479_805259,"(1, 0)",1,0
Control,327002226_82946052899_150998,"(6, 1)",6,1
Control,327007530_73355652112_405421,"(4, 0)",4,0
Control,327058068_90688386281_221979,"(8, 2)",8,2
Control,327129755_69795061031_874742,"(0, 0)",0,0
Control,327197368_35485805696_712328,"(4, 0)",4,0
Control,327212807_1785602732_161749,"(3, 0)",3,0
Control,327253473_93411969181_206023,"(4, 0)",4,0
Control,327294159_3138700855_762504,"(3, 1)",3,1
Control,327301660_94621622810_719273,"(6, 1)",6,1
Control,327340207_78851463803_927024,"(4, 0)",4,0
Control,327376817_88462040818_274628,"(7, 1)",7,1
Control,327381814_78151320067_987479,"(8, 2)",8,2
Control,327428660_93047452160_348566,"(4, 0)",4,0
Control,327442728_8911658620_326140,"(1, 0)",1,0
Control,327450093_73261723945_334181,"(1, 0)",1,0
Control,327465461_37913017148_672797,"(1, 0)",1,0
Control,327470955_30655427397_948501,"(0, 0)",0,0
Control,327539331_40787819499_327013,"(0, 0)",0,0
Control,327600337_79445756978_836391,"(4, 0)",4,0
Control,327600613_15539058990_771779,"(4, 0)",4,0
Control,327697914_94547509351_426784,"(4, 0)",4,0
Control,327704455_92427486606_807241,"(4, 0)",4,0
Control,327815542_36808865618_879430,"(7, 1)",7,1
Control,327835714_49642776974_318979,"(4, 0)",4,0
Control,327873637_12446736187_153435,"(6, 1)",6,1
Control,327943481_43201814530_167433,"(0, 0)",0,0
Control,328005660_81602428157_863328,"(3, 0)",3,0
Control,32811_29122443834_421903,"(4, 0)",4,0
Control,328141943_30158971801_300752,"(3, 0)",3,0
Control,328177906_82071003134_738946,"(1, 0)",1,0
Control,328288332_45546385091_723464,"(4, 0)",4,0
Control,328288929_53395197460_875085,"(4, 0)",4,0
Control,328301251_64155326332_939551,"(8, 2)",8,2
Control,328338410_97956782579_812900,"(4, 0)",4,0
Control,328363583_36672405105_936029,"(4, 0)",4,0
Control,328437181_99424254356_577969,"(4, 1)",4,1
Control,328447076_53505018369_973504,"(0, 0)",0,0
Control,328548516_50150030529_331997,"(5, 2)",5,2
Control,328596328_35655038253_392176,"(9, 2)",9,2
Control,328700516_67795407352_608565,"(2, 0)",2,0
Control,328716541_95991192390_280015,"(3, 1)",3,1
Control,328804863_6538009878_680361,"(4, 0)",4,0
Control,328805542_59164676865_536059,"(2, 0)",2,0
Control,328829933_86344182793_74732,"(4, 0)",4,0
Control,328839464_75225165174_487994,"(3, 0)",3,0
Control,328862412_13184105202_946934,"(4, 0)",4,0
Control,328902109_10542452312_638520,"(1, 0)",1,0
Control,328904159_78652854869_575685,"(4, 0)",4,0
Control,328918139_94569016201_795641,"(9, 3)",9,3
Control,328927178_29539560942_556867,"(3, 1)",3,1
Control,328934548_47300838239_315818,"(3, 0)",3,0
Control,329026637_82157125614_168468,"(5, 2)",5,2
Control,329043995_21070863700_153355,"(1, 0)",1,0
Control,32907181_85059156430_154809,"(4, 2)",4,2
Control,32908384_42847431856_650926,"(4, 0)",4,0
Control,32908602_20133900319_621572,"(7, 1)",7,1
Control,329122960_37214902100_275166,"(3, 0)",3,0
Control,329141592_89999314217_138933,"(4, 1)",4,1
Control,329146577_60166146427_641441,"(4, 0)",4,0
Control,329238791_86232090026_893273,"(9, 2)",9,2
Control,329267838_41490464743_762740,"(4, 0)",4,0
Control,329285622_78967667274_255754,"(2, 0)",2,0
Control,329295864_77868269151_272572,"(1, 0)",1,0
Control,329296497_70739721624_20178,"(2, 1)",2,1
Control,329297532_20642500358_598492,"(4, 1)",4,1
Control,329298279_37625266768_240474,"(4, 0)",4,0
Control,329299787_37352037417_236949,"(4, 0)",4,0
Control,329358892_57013351211_988231,"(3, 1)",3,1
Control,329360877_93689785995_803027,"(4, 0)",4,0
Control,329389285_92537661906_604310,"(0, 0)",0,0
Control,329390622_29225289247_261843,"(3, 0)",3,0
Control,329587968_35002135642_123948,"(4, 0)",4,0
Control,329599588_21439062542_226594,"(2, 1)",2,1
Control,329623980_24559347879_684689,"(1, 0)",1,0
Control,329655264_98143125076_358767,"(3, 0)",3,0
Control,329783255_46514934082_43975,"(3, 0)",3,0
Control,329812339_78845305153_386384,"(3, 1)",3,1
Control,329845322_76750831065_118773,"(14, 7)",14,7
Control,329854510_3015441948_12400,"(1, 0)",1,0
Control,32987795_42103422088_455244,"(4, 0)",4,0
Control,329878005_57272520069_219216,"(4, 0)",4,0
Control,329910154_81158289259_739740,"(2, 1)",2,1
Control,32991565_4225086767_695701,"(4, 0)",4,0
Control,330205342_44977064244_584883,"(0, 0)",0,0
Control,330205397_79066702852_526471,"(8, 2)",8,2
Control,330317674_18350032510_221867,"(9, 2)",9,2
Control,330318743_35240455185_514329,"(3, 1)",3,1
Control,330343237_12095058395_536174,"(4, 0)",4,0
Control,330472516_68167134269_753891,"(1, 0)",1,0
Control,330539142_78811798093_236256,"(4, 0)",4,0
Control,330553476_19118394551_550067,"(4, 0)",4,0
Control,330559746_55959008472_588506,"(2, 1)",2,1
Control,330573299_40433769099_908331,"(4, 2)",4,2
Control,330576825_24972541270_520371,"(4, 0)",4,0
Control,330597712_95565860712_543023,"(4, 0)",4,0
Control,330604112_49342579454_722396,"(4, 0)",4,0
Control,330604395_88384278830_903900,"(4, 0)",4,0
Control,330630143_32027312421_822941,"(4, 0)",4,0
Control,330637395_7398283079_872908,"(6, 1)",6,1
Control,330656108_77213339707_255720,"(3, 1)",3,1
Control,330667411_60056639489_846044,"(0, 0)",0,0
Control,330698457_77576188274_292774,"(4, 0)",4,0
Control,330744821_55446056405_225171,"(4, 0)",4,0
Control,330776457_69178030765_77009,"(0, 0)",0,0
Control,330787416_20683736741_449246,"(6, 1)",6,1
Control,330795139_70450221071_458344,"(4, 0)",4,0
Control,33079922_19282351364_523465,"(0, 0)",0,0
Control,33092621_99537171785_497127,"(0, 0)",0,0
Control,331044265_95834165504_400095,"(6, 1)",6,1
Control,331082214_45302093374_397498,"(1, 0)",1,0
Control,331103265_10476029482_874876,"(4, 0)",4,0
Control,331107281_46125396628_720882,"(4, 0)",4,0
Control,331150063_37693785269_673289,"(3, 1)",3,1
Control,331209911_83357595879_870400,"(4, 0)",4,0
Control,331233304_18982291190_478216,"(2, 0)",2,0
Control,331279106_76700759430_383434,"(2, 0)",2,0
Control,33132882_20730838740_684425,"(4, 0)",4,0
Control,331345369_28818942123_621290,"(4, 0)",4,0
Control,331509996_63744863206_577505,"(4, 0)",4,0
Control,331579308_82559429347_911238,"(0, 0)",0,0
Control,331641202_73431018285_289365,"(2, 0)",2,0
Control,331666832_18751235153_361589,"(1, 0)",1,0
Control,331814147_10520382206_783034,"(0, 0)",0,0
Control,33186791_8962428089_28084,"(7, 1)",7,1
Control,331923520_67052265009_898825,"(4, 0)",4,0
Control,332016577_15158109345_6188,"(3, 1)",3,1
Control,332052742_63746652373_407602,"(1, 0)",1,0
Control,332117223_92977191345_606649,"(4, 0)",4,0
Control,332171887_580678325_532609,"(1, 0)",1,0
Control,332197494_27891654824_422057,"(3, 1)",3,1
Control,332221817_29767191278_723180,"(4, 1)",4,1
Control,332264026_89648391539_828209,"(4, 0)",4,0
Control,332291622_54196612338_484768,"(2, 0)",2,0
Control,332299913_26930065340_323170,"(0, 0)",0,0
Control,332363432_47326015524_754748,"(0, 0)",0,0
Control,332382918_45217401946_430652,"(4, 0)",4,0
Control,332429008_65701172797_302831,"(4, 1)",4,1
Control,332451848_44186581856_665324,"(4, 0)",4,0
Control,33245599_76340865761_818216,"(1, 0)",1,0
Control,332473376_65286666577_172118,"(4, 0)",4,0
Control,332557127_28276038153_439797,"(3, 0)",3,0
Control,332570713_50642183545_61899,"(3, 0)",3,0
Control,332591160_46602872821_24381,"(3, 0)",3,0
Control,332608071_5702096906_714474,"(4, 0)",4,0
Control,332608612_33872237376_346537,"(13, 4)",13,4
Control,332657257_84509572672_617237,"(4, 0)",4,0
Control,332706205_33241228891_723590,"(4, 1)",4,1
Control,332717372_99415868667_292525,"(2, 0)",2,0
Control,332719545_45451748779_731644,"(3, 0)",3,0
Control,33279228_28591588357_511536,"(4, 0)",4,0
Control,332817500_85805794369_149565,"(7, 3)",7,3
Control,332836141_31763109740_86593,"(4, 0)",4,0
Control,332847840_11703416270_304109,"(4, 0)",4,0
Control,332923809_51116942642_256515,"(1, 0)",1,0
Control,332996397_86371081952_946888,"(1, 0)",1,0
Control,333007532_3634800349_916942,"(5, 1)",5,1
Control,333128900_77741234871_833932,"(5, 1)",5,1
Control,333131391_38880668594_152931,"(4, 0)",4,0
Control,333136111_34345906415_832341,"(5, 2)",5,2
Control,333166951_75186280744_974582,"(4, 0)",4,0
Control,333171200_26477444328_506751,"(4, 0)",4,0
Control,333189339_94319774229_541735,"(3, 0)",3,0
Control,333215230_98915326868_176825,"(3, 0)",3,0
Control,333234616_92196923324_399074,"(4, 0)",4,0
Control,333267106_25592548543_470421,"(3, 0)",3,0
Control,333276205_15535622750_997013,"(4, 0)",4,0
Control,333289863_55418545459_893178,"(4, 0)",4,0
Control,333291318_73063243464_799143,"(3, 0)",3,0
Control,333307458_51981872760_521025,"(4, 0)",4,0
Control,333324003_97452619504_763977,"(2, 1)",2,1
Control,33333618_14703929298_596360,"(1, 0)",1,0
Control,333345075_66820349087_156984,"(4, 1)",4,1
Control,333444331_95977400181_343280,"(8, 2)",8,2
Control,333474382_1848495667_883366,"(0, 0)",0,0
Control,333509322_76461270065_841702,"(6, 1)",6,1
Control,333543034_57111429158_613843,"(4, 0)",4,0
Control,333559229_97515790063_264433,"(1, 0)",1,0
Control,333566205_43182139389_550962,"(0, 0)",0,0
Control,333574138_81286006839_492579,"(3, 1)",3,1
Control,333594290_79489431324_134862,"(1, 0)",1,0
Control,333614629_24695082310_817988,"(0, 0)",0,0
Control,333672025_33440517034_935517,"(8, 2)",8,2
Control,33368428_3889747679_69489,"(3, 0)",3,0
Control,333737584_11019970849_837595,"(4, 0)",4,0
Control,333738286_61832769770_263076,"(4, 0)",4,0
Control,333800178_93498382684_5284,"(3, 1)",3,1
Control,333856631_96651883591_728428,"(4, 0)",4,0
Control,333877469_20622596182_230323,"(7, 2)",7,2
Control,33392083_51402466915_328131,"(4, 0)",4,0
Control,333940988_74099634840_779869,"(6, 1)",6,1
Control,333951920_23041681686_453235,"(4, 0)",4,0
Control,333980826_86461061805_655912,"(10, 2)",10,2
Control,333999309_16878458967_599485,"(4, 0)",4,0
Control,334053613_97060352239_980052,"(2, 0)",2,0
Control,334078292_85289418370_93624,"(0, 0)",0,0
Control,334193794_324786754_552372,"(0, 0)",0,0
Control,334244904_47569427342_98981,"(2, 0)",2,0
Control,334265726_99196132736_264107,"(4, 0)",4,0
Control,334274809_80036524028_808414,"(0, 0)",0,0
Control,334278497_40634090718_901118,"(4, 1)",4,1
Control,334310430_11611587462_382537,"(4, 0)",4,0
